carte,categorie,question,reponse,difficulte,theme
37,Divertissement,"Quel mouvement spirituel, qui vénère l'empereur éthiopien Haïlé Sélassié, est étroitement associé au reggae ?",Le rastafarisme,2,Reggae
37,Histoire,Quel dramaturge dissident est élu président de la Tchécoslovaquie en décembre 1989 ?,Václav Havel,2,Fin de la guerre froide
37,Arts & Littérature,"Quelle dramaturge a écrit « Art », pièce de 1994 autour d'un tableau blanc ?",Yasmina Reza,3,Théâtre
37,Sciences & Nature,Comment appelle-t-on la science qui étudie les relations des êtres vivants entre eux et avec leur milieu ?,L'écologie,1,Biologie générale
37,Sports & Loisirs,"Quel coureur a remporté le tout premier Tour de France, en 1903 ?",Maurice Garin,3,Cyclisme – champions
38,Géographie,"Comment appelle-t-on la région d'Océanie regroupant notamment les Fidji, le Vanuatu et la Nouvelle-Calédonie ?",La Mélanésie,2,Océanie
38,Divertissement,Quel acteur couvert de chaînes en or jouait Barracuda dans « L'Agence tous risques » ?,Mr. T,2,Séries américaines
38,Histoire,Comment appelle-t-on la période quasi sans combats sur le front ouest entre septembre 1939 et mai 1940 ?,La drôle de guerre,1,Seconde Guerre mondiale
38,Arts & Littérature,"Quelle tragédie de Racine met en scène la veuve d'Hector, captive de Pyrrhus ?",Andromaque,2,Théâtre
38,Sciences & Nature,Quel naturaliste suédois a créé la nomenclature binominale qui désigne chaque espèce par deux noms latins ?,Carl von Linné,2,Grands scientifiques
38,Sports & Loisirs,Quelle grande course de trot attelé se dispute chaque hiver sur l'hippodrome de Vincennes ?,Le Prix d'Amérique,2,Équitation
39,Géographie,Quelle est la capitale du Danemark ?,Copenhague,1,Capitales
39,Divertissement,"Quel film de Luchino Visconti, avec Burt Lancaster et Alain Delon, a remporté la Palme d'or en 1963 ?",Le Guépard,3,Festival de Cannes
39,Histoire,Comment appelait-on les poètes-musiciens qui composaient en langue d'oc au Moyen Âge ?,Les troubadours,1,Culture médiévale
39,Arts & Littérature,Quel roman d'Emily Brontë raconte la passion destructrice de Heathcliff et Catherine sur les landes du Yorkshire ?,Les Hauts de Hurlevent,2,Littérature anglaise
39,Sciences & Nature,Comment appelle-t-on les quatre grandes lunes de Jupiter découvertes en 1610 ?,Les satellites (lunes) galiléens,2,Astronomie : planètes
39,Sports & Loisirs,Quel perchiste suédois a remporté le titre olympique aux Jeux de Tokyo 2020 ?,Armand Duplantis,2,Athlétisme
40,Géographie,"Sur quel plateau se dressent les pyramides de Khéops, Khéphren et Mykérinos ?",Gizeh,1,Monuments
40,Divertissement,Quel agent de la cellule antiterroriste vit chaque saison de « 24 heures chrono » en temps réel ?,Jack Bauer,2,Séries américaines
40,Histoire,Quel peintre a immortalisé La Mort de Marat ?,Jacques-Louis David,2,Révolution française
40,Arts & Littérature,Quel écrivain britannique né à Bombay reçut le prix Nobel de littérature en 1907 ?,Rudyard Kipling,2,Prix Nobel de littérature
40,Sciences & Nature,Quelle est l'étoile la plus brillante du ciel nocturne ?,Sirius,2,Astronomie : Soleil et étoiles
40,Sports & Loisirs,Quel coureur américain a été déchu en 2012 de ses sept victoires sur le Tour de France pour dopage ?,Lance Armstrong,1,Cyclisme – Tour de France
41,Géographie,Quel est le seul pays d'Afrique à avoir l'espagnol pour langue officielle ?,La Guinée équatoriale,2,Langues
41,Divertissement,"Quel tambour d'Afrique de l'Ouest, en forme de calice, se joue à mains nues ?",Le djembé,1,Instruments
41,Histoire,Quel grand-prince de Kiev se convertit au christianisme vers 988 ?,Vladimir Ier,3,Saint-Empire et Europe centrale
41,Arts & Littérature,"Quel est le prénom de Madame Bovary, l'héroïne de Flaubert ?",Emma,1,Personnages
41,Sciences & Nature,"Quelle particule, parfois surnommée « particule de Dieu », a été découverte au CERN en 2012 ?",Le boson de Higgs,1,Physique
41,Sports & Loisirs,Quel Français a mis fin à la domination d'Eddy Merckx en remportant le Tour de France 1975 ?,Bernard Thévenet,3,Cyclisme – champions
42,Géographie,Quelle ville a accueilli les Jeux olympiques d'été de 1988 ?,Séoul,1,Grandes villes
42,Divertissement,Quel jeu télévisé des années 1960 associait un candidat cérébral et un candidat sportif chargé de rattraper ses erreurs ?,La Tête et les Jambes,3,Jeux télé
42,Histoire,Quelle institution Richelieu fonde-t-il en 1635 pour veiller sur la langue française ?,L'Académie française,1,Louis XIII
42,Arts & Littérature,Quel philosophe anglais a publié en 1859 l'essai « De la liberté » ?,John Stuart Mill,3,Philosophie moderne
42,Sciences & Nature,Quelle est la valeur approchée du nombre pi arrondie au centième ?,"3,14",1,Mathématiques
42,Sports & Loisirs,"En natation, comment appelle-t-on le cordon flottant qui sépare deux couloirs du bassin ?",La ligne d'eau,1,Vocabulaire et règles
43,Géographie,"Dans quelle ville indienne se trouve le Temple d'or, principal lieu saint des sikhs ?",Amritsar,2,Monuments et sites
43,Divertissement,Quel sorcier cherche sans cesse à capturer les Schtroumpfs ?,Gargamel,1,BD franco-belge
43,Histoire,Quelle bataille de 1410 vit la Pologne-Lituanie écraser les chevaliers Teutoniques ?,Grunwald (Tannenberg),3,Saint-Empire et Europe centrale
43,Arts & Littérature,"Chez Perrault, en quelle matière est la pantoufle que perd Cendrillon ?",En verre,1,Contes
43,Sciences & Nature,Quelle mathématicienne française a correspondu avec Gauss sous le pseudonyme masculin de « M. Le Blanc » ?,Sophie Germain,3,Mathématiques
43,Sports & Loisirs,"Comment appelle-t-on le fait, pour un même joueur, de marquer trois buts dans un match ?",Un coup du chapeau (hat-trick),1,Football – vocabulaire
44,Géographie,Quel fromage suisse à trous porte le nom d'une vallée du canton de Berne ?,L'emmental,1,Suisse
44,Divertissement,Quel cinéaste sud-coréen a réalisé « Parasite » ?,Bong Joon-ho,3,Réalisateurs
44,Histoire,"Quelle ville basque, bombardée en avril 1937 par la légion Condor, a inspiré un célèbre tableau de Picasso ?",Guernica,1,Guerre d'Espagne
44,Arts & Littérature,Quel peintre américain a représenté un fermier à la fourche et sa fille dans « American Gothic » (1930) ?,Grant Wood,2,Tableaux célèbres
44,Sciences & Nature,"Quel alliage, qui a donné son nom à un âge de la préhistoire, est composé de cuivre et d'étain ?",Le bronze,1,Chimie : matériaux
44,Sports & Loisirs,"Quel navigateur français a disparu en mer lors de la première Route du Rhum, en 1978 ?",Alain Colas,3,Voile
45,Géographie,"Sur quelle île se trouve Jakarta, la capitale de l'Indonésie ?",Java,2,Asie
45,Divertissement,Dans quel dessin animé Disney de 1955 deux chiens partagent-ils un plat de spaghettis ?,La Belle et le Clochard,1,Animation
45,Histoire,"Quel architecte sino-américain a conçu la pyramide de verre du Louvre, inaugurée en 1989 ?",Ieoh Ming Pei,2,Grands travaux
45,Arts & Littérature,"Quel est le dernier album de Tintin, resté inachevé à la mort d'Hergé en 1983 ?",Tintin et l'Alph-Art,3,Bande dessinée
45,Sciences & Nature,Quel naturaliste anglais a publié « L'Origine des espèces » en 1859 ?,Charles Darwin,1,Grands scientifiques
45,Sports & Loisirs,"Quel champion du monde des poids lourds a pris sa retraite invaincu en 1956, après 49 combats professionnels ?",Rocky Marciano,3,Boxe
46,Géographie,"Comment appelle-t-on la phase froide, inverse d'El Niño, dans le Pacifique équatorial ?",La Niña,2,Climats et milieux
46,Divertissement,Quel chanteur a interprété « Le Chanteur » en 1978 et « L'Aziza » en 1985 ?,Daniel Balavoine,2,Variété française
46,Histoire,Quel plan américain d'aide à la reconstruction de l'Europe a été lancé en 1947 ?,Le plan Marshall,1,Guerre froide
46,Arts & Littérature,"Quel photographe d'origine hongroise, surnommé « l'œil de Paris », a publié « Paris de nuit » en 1932 ?",Brassaï,3,Photographie
46,Sciences & Nature,Quel savant grec de Milet a donné son nom au théorème sur la proportionnalité dans des triangles coupés par des parallèles ?,Thalès,1,Mathématiques
46,Sports & Loisirs,Quel trophée récompense le vainqueur du classement général de la Coupe du monde de ski alpin ?,Le gros globe de cristal,2,Sports d'hiver
47,Géographie,Quelle chaîne de montagnes forme l'épine dorsale de la péninsule italienne ?,Les Apennins,1,Montagnes
47,Divertissement,Quelle chanson d'Elton John a été réécrite en 1997 en hommage à la princesse Diana ?,Candle in the Wind,2,Pop-rock britannique
47,Histoire,Quels jeux panhelléniques se déroulaient à Delphes en l'honneur d'Apollon ?,Les jeux Pythiques,3,Grèce antique
47,Arts & Littérature,"Quelle soprano, surnommée « la Divina », a triomphé dans « Norma » et « Tosca » ?",Maria Callas,1,Chanteurs lyriques
47,Sciences & Nature,"Quel mathématicien français, préfet de l'Isère sous Napoléon, a donné son nom à une décomposition des signaux en sinusoïdes ?",Joseph Fourier,2,Mathématiques
47,Sports & Loisirs,Quelle couleur de tenue est imposée aux joueurs du tournoi de Wimbledon ?,Le blanc,1,Tennis – compétitions
48,Géographie,Quel fleuve a le plus fort débit du monde ?,L'Amazone,1,Géographie physique
48,Divertissement,Quel créateur a porté au cinéma en 2021 sa série arthurienne « Kaamelott » ?,Alexandre Astier,2,Réalisateurs
48,Histoire,"Quel roi fut le dernier Capétien direct, mort en 1328 ?",Charles IV le Bel,3,Capétiens
48,Arts & Littérature,"Quel petit dieu ailé de l'amour, fils de Vénus, décoche des flèches chez les Romains ?",Cupidon,1,Mythologie romaine
48,Sciences & Nature,"Quelle célèbre expérience d'optique, menée au début du XIXe siècle, a révélé des interférences lumineuses à l'aide de deux fentes ?",Les fentes de Young,3,Physique
48,Sports & Loisirs,"Au beach-volley, combien de joueurs composent chaque équipe ?",Deux,1,Vocabulaire et règles
49,Géographie,"Quel nom porte le patrimoine viticole bourguignon, parcelles de la côte de Nuits et de Beaune, inscrit à l'UNESCO en 2015 ?",Les climats de Bourgogne,3,Patrimoine UNESCO
49,Divertissement,"Quel super-héros Marvel est inspiré du dieu nordique du tonnerre, armé d'un marteau ?",Thor,1,Super-héros
49,Histoire,"Comment surnomme-t-on les journées révolutionnaires parisiennes des 27, 28 et 29 juillet 1830 ?",Les Trois Glorieuses,1,Monarchie de Juillet
49,Arts & Littérature,Quel est le seul mot de la langue française qui s'écrit avec un « ù » ?,Où,2,Langue française
49,Sciences & Nature,"Quel est le seul grand félin à vivre en groupes familiaux organisés, appelés troupes ?",Le lion,2,Mammifères
49,Sports & Loisirs,"Quelle équipe nationale féminine a remporté la médaille d'or olympique de handball à Tokyo, en 2021 ?",La France,2,Handball – compétitions
50,Géographie,"Quel barrage sur le Colorado, achevé en 1936, a créé le lac Mead ?",Le barrage Hoover,2,Monuments et sites
50,Divertissement,Quel réalisateur britannique a signé « Gladiator » (2000) avec Russell Crowe ?,Ridley Scott,2,Réalisateurs
50,Histoire,Dans quelle ville a éclaté l'insurrection du 13 mai 1958 qui a précipité le retour au pouvoir du général de Gaulle ?,Alger,2,Ve République
50,Arts & Littérature,Combien de lettres compte l'alphabet français ?,26,1,Langue française
50,Sciences & Nature,Quel besoin se trouve au sommet de la pyramide de Maslow ?,L'accomplissement de soi,2,Psychologie
50,Sports & Loisirs,Quelle heptathlonienne belge a été championne olympique en 2016 à Rio puis aux Jeux de Tokyo 2020 ?,Nafissatou Thiam,2,Athlétisme
51,Géographie,Quelle était la monnaie de l'Espagne avant l'euro ?,La peseta,1,Monnaies
51,Divertissement,Que désigne le nombre 90210 dans le titre de la série « Beverly Hills 90210 » ?,Le code postal,2,Séries américaines
51,Histoire,Quel nom de code désignait le débarquement allié en Provence en août 1944 ?,Opération Dragoon,3,Débarquement
51,Arts & Littérature,Quel petit gâteau trempé dans le thé fait ressurgir les souvenirs d'enfance du narrateur de Proust ?,La madeleine,1,Romans
51,Sciences & Nature,Quel instrument mesure l'humidité de l'air ?,L'hygromètre,2,Météorologie
51,Sports & Loisirs,Quel pays a organisé la Coupe du monde de rugby 2023 ?,La France,1,Rugby – Coupe du monde
52,Géographie,Quelle ville du Var abrite le principal port militaire français en Méditerranée ?,Toulon,1,Villes
52,Divertissement,"Quel film de Michael Haneke, avec Jean-Louis Trintignant et Emmanuelle Riva, a reçu la Palme d'or en 2012 ?",Amour,3,Festival de Cannes
52,Histoire,Quel philosophe fut le précepteur du jeune Alexandre le Grand ?,Aristote,1,Grèce antique
52,Arts & Littérature,"Comment appelle-t-on une nature morte comportant un crâne, rappelant la brièveté de la vie ?",Une vanité,2,Genres picturaux
52,Sciences & Nature,"Depuis 1983, quelle unité est définie comme la distance parcourue par la lumière dans le vide en 1/299 792 458 de seconde ?",Le mètre,2,Unités et mesures
52,Sports & Loisirs,Quelle est la plus longue course de nage libre disputée en bassin aux Jeux olympiques ?,Le 1 500 m,2,Natation
53,Géographie,"Quelle ville est la préfecture de la Lozère, le département le moins peuplé de France ?",Mende,2,Préfectures
53,Divertissement,Quel animal s'échappe de sa cage et s'en prend à un juge dans une chanson de Georges Brassens de 1952 ?,Un gorille,2,Paroles célèbres
53,Histoire,Quel était le nom du célèbre point de passage entre les secteurs américain et soviétique de Berlin ?,Checkpoint Charlie,2,Guerre froide
53,Arts & Littérature,Comment appelle-t-on la jupe courte et bouffante en tulle portée par les ballerines ?,Le tutu,1,Danse
53,Sciences & Nature,Combien de chromosomes compte une cellule humaine non reproductrice ?,46,1,Génétique
53,Sports & Loisirs,Quelle Japonaise a battu Serena Williams en finale de l'US Open 2018 ?,Naomi Osaka,3,Tennis – champions
54,Géographie,Quel fleuve traverse Charleville-Mézières et Sedan avant d'entrer en Belgique ?,La Meuse,2,Fleuves et rivières
54,Divertissement,"Quelle série de HBO, adaptée des romans de George R. R. Martin, se déroule sur le continent de Westeros ?",Game of Thrones,1,Séries américaines
54,Histoire,Quelle invention est attribuée au fonctionnaire chinois Cai Lun vers 105 ?,Le papier,2,Chine et Asie antiques
54,Arts & Littérature,Quel écrivain aurait rédigé une dictée truffée de pièges pour la cour de Napoléon III ?,Prosper Mérimée,3,Langue française
54,Sciences & Nature,Dans quel organe de la gorge se trouvent les cordes vocales ?,Le larynx,1,Respiration
54,Sports & Loisirs,"Quel moine bénédictin de l'abbaye d'Hautvillers est, selon la légende, l'inventeur du champagne ?",Dom Pérignon,1,Vins
55,Géographie,Quelle était la monnaie du Portugal avant l'euro ?,L'escudo,2,Monnaies
55,Divertissement,"Quel objet mystérieux, sujet d'un jeu de Guy Lux, a été rendu célèbre par un sketch de Coluche ?",Le Schmilblick,2,Jeux télé
